"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that clicking the Home link in the navbar correctly redirects/reloads the homepage","492","Verify clicking Home nav reloads homepage","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testNavHomeClick"
"","4007","Verify order form is fillable","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testOrderFormCanBeFilled"
"","1163","Verify Monitors category shows only monitor products","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.ProductCategoryTest","Functional Tests","comBlazedemoTests.tests.ProductCategoryTest","testMonitorsFiltering"
"Verify that the Laptops category filter displays products","1169","Verify filtering by Laptops category shows products","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testFilterByLaptops"
"","1146","Verify Phones category shows only phone products","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.ProductCategoryTest","Functional Tests","comBlazedemoTests.tests.ProductCategoryTest","testPhonesFiltering"
"Verify the homepage title is 'STORE'","11","Verify Home page title is correct","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testHomePageTitle"
"Verify that pagination works correctly by clicking the Next button","1730","Verify clicking Next page loads more products","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testNextPageNavigation"
"Verify that the contact form can be filled and submitted","1499","Verify Contact form sends message successfully","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testContactFormSubmission"
"Verify that the Monitors category filter displays products","1079","Verify filtering by Monitors category shows products","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testFilterByMonitors"
"","4317","Verify confirmation text contains order details","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testPurchaseConfirmationContainsDetails"
"","2389","Verify pagination controls visibility and functionality","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.PaginationTest","Functional Tests","comBlazedemoTests.tests.PaginationTest","testPagination"
"Verify that clicking a product redirects to the correct product detail page","2418","Verify clicking a product navigates to product detail page","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testClickProductNavigatesToDetailPage"
"","4038","Verify cart item count increases after adding a product","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testCartItemCountIncreases"
"Verify that products are loaded when the homepage is opened","672","Verify homepage loads products on initial load","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testProductsLoadOnHomepage"
"","11010","Verify cart shows empty after deleting only item","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testCartEmptyAfterDeletion"
"Verify that the Phones category filter displays products","1126","Verify filtering by Phones category shows products","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testFilterByPhones"
"","4346","Verify successful purchase shows Thank You confirmation","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testSuccessfulPurchase"
"Verify that a valid login displays the username in the navbar","3255","Verify valid login shows logged-in username in navbar","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testValidLogin"
"Verify that clicking the Cart link in the navbar redirects to the cart page","598","Verify cart nav redirects to cart page","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testNavCartRedirectsToCartPage"
"","959","Verify each product has title, price, and description","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.ProductValidationTest","Functional Tests","comBlazedemoTests.tests.ProductValidationTest","testProductDetailsInGrid"
"Verify that the About Us modal with video is displayed","802","Verify About Us modal opens on nav click","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testAboutUsModalOpens"
"","5377","Verify adding same product twice increases cart count","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testAddSameProductTwice"
"Verify that the Sign Up modal is displayed","695","Verify Sign Up modal opens on nav click","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testSignUpModalOpens"
"","510","Verify navigating directly to cart page works","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testDirectCartNavigation"
"Verify that the Contact modal is displayed when clicking the Contact link","669","Verify Contact modal opens on nav click","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testContactModalOpens"
"Verify that the price is correctly displayed on the product detail page","1748","Verify product detail page shows price","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testProductDetailShowsPrice"
"","4143","Verify total price is shown in cart","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testCartTotalIsDisplayed"
"","4014","Verify product is added to cart and appears in cart table","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testAddProductToCart"
"Verify that the Login modal is displayed","694","Verify Login modal opens on nav click","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testLoginModalOpens"
"Verify that the correct username is displayed in the navbar after login","3116","Verify logged-in username appears in navbar after login","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testLoggedInUsernameDisplayed"
"","10911","Verify deleting item removes it from cart","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testDeleteItemFromCart"
"","188","Verify product images are visible and not broken","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.ProductValidationTest","Functional Tests","comBlazedemoTests.tests.ProductValidationTest","testProductImages"
"","3420","Verify Place Order modal opens from cart page","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testPlaceOrderModalOpens"
"","1216","Verify Laptops category shows only laptop products","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.ProductCategoryTest","Functional Tests","comBlazedemoTests.tests.ProductCategoryTest","testLaptopsFiltering"
"Verify that logging out removes the username and restores Login link","14421","Verify logout resets navbar to login/signup state","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.HomeTest","Functional Tests","comBlazedemoTests.tests.HomeTest","testLogout"
"","4868","Verify clicking OK after purchase closes modal and redirects","Functional Suite","2026-06-01","passed","2026-06-01","comBlazedemoTests.tests.CartTest","Functional Tests","comBlazedemoTests.tests.CartTest","testOkButtonAfterPurchase"
